"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: arraySize","Param: nbHashFunctions"
"benchmark.MyBenchmark.time_add_arraylist","avgt",1,3,"23,484553","9,470242","ns/op",100,5
"benchmark.MyBenchmark.time_add_arraylist","avgt",1,3,"24,183441","7,709321","ns/op",1000,5
"benchmark.MyBenchmark.time_add_arraylist","avgt",1,3,"23,384738","4,797156","ns/op",10000,5
"benchmark.MyBenchmark.time_add_arraylist","avgt",1,3,"25,420587","32,078175","ns/op",100000,5
"benchmark.MyBenchmark.time_add_arraylist","avgt",1,3,"38,066118","1,998947","ns/op",1000000,5
"benchmark.MyBenchmark.time_isPresent_arraylist","avgt",1,3,"5,054818","1,261758","ns/op",100,5
"benchmark.MyBenchmark.time_isPresent_arraylist","avgt",1,3,"5,049113","0,461174","ns/op",1000,5
"benchmark.MyBenchmark.time_isPresent_arraylist","avgt",1,3,"5,039361","0,705106","ns/op",10000,5
"benchmark.MyBenchmark.time_isPresent_arraylist","avgt",1,3,"5,080041","0,654439","ns/op",100000,5
"benchmark.MyBenchmark.time_isPresent_arraylist","avgt",1,3,"5,131053","1,511721","ns/op",1000000,5
